Date,Open,High,Low,Close,Volume
8/18/2020,4.61,4.87,4.44,4.81,"3,834,840"
8/17/2020,4.78,4.78,4.56,4.63,"2,370,970"
8/14/2020,4.6,4.83,4.55,4.75,"3,474,692"
8/13/2020,4.52,4.71,4.5,4.64,"2,128,313"
8/12/2020,4.4,4.63,4.36,4.52,"3,057,594"
8/11/2020,4.43,4.57,4.34,4.35,"3,139,105"
8/10/2020,4.2,4.57,4.18,4.33,"4,561,772"
8/7/2020,4.39,4.4,4.06,4.16,"3,341,099"
8/6/2020,4.6,4.66,4.38,4.43,"1,901,224"
8/5/2020,4.5,4.76,4.25,4.63,"4,925,697"
8/4/2020,4.13,4.74,4.13,4.43,"10,361,360"
8/3/2020,4.03,4.25,4,4.15,"2,518,010"
7/31/2020,4.06,4.16,3.99,4.01,"1,879,553"
7/30/2020,4,4.23,3.97,4.1,"2,398,485"
7/29/2020,3.94,4.18,3.92,4.06,"2,879,626"
7/28/2020,3.96,4.05,3.92,3.94,"4,555,392"
7/27/2020,4.02,4.12,3.95,4.01,"2,472,696"
7/24/2020,4.06,4.23,4.01,4.03,"2,216,295"
7/23/2020,4.09,4.31,4.06,4.11,"3,237,550"
7/22/2020,4.02,4.12,3.92,4.11,"2,523,547"
7/21/2020,3.9,4.09,3.88,4.01,"3,341,012"
7/20/2020,3.95,4.06,3.77,3.85,"3,401,088"
7/17/2020,4.16,4.23,3.94,3.96,"3,066,549"
7/16/2020,4.19,4.2,4.09,4.17,"1,330,461"
7/15/2020,4.13,4.29,4.13,4.19,"1,474,126"
7/14/2020,4.22,4.31,4.07,4.08,"2,261,589"
7/13/2020,4.35,4.55,4.26,4.26,"4,216,265"
7/10/2020,4.2,4.38,4.18,4.34,"1,410,828"
7/9/2020,4.27,4.32,4.13,4.21,"1,992,621"
7/8/2020,4.1,4.29,4.03,4.26,"2,052,829"
7/7/2020,4.2,4.25,4.06,4.09,"2,456,970"
7/6/2020,4.31,4.34,4.19,4.24,"2,140,879"
7/2/2020,4.49,4.51,4.29,4.29,"1,887,751"
7/1/2020,4.31,4.5,4.31,4.44,"2,304,101"
6/30/2020,4.33,4.51,4.2,4.34,"3,889,029"
6/29/2020,4.35,4.52,4.3,4.38,"2,131,330"
6/26/2020,4.48,4.5,4.27,4.35,"3,801,155"
6/25/2020,4.33,4.54,4.3,4.46,"2,450,936"
6/24/2020,4.83,4.84,4.38,4.41,"2,976,209"
6/23/2020,4.95,4.99,4.8,4.83,"3,205,372"
6/22/2020,4.79,4.95,4.72,4.87,"3,178,966"
6/19/2020,4.95,5.08,4.69,4.88,"7,365,867"
6/18/2020,4.67,4.95,4.65,4.95,"3,423,827"
6/17/2020,4.54,4.83,4.53,4.76,"3,593,466"
6/16/2020,4.95,4.95,4.51,4.64,"3,123,535"
6/15/2020,4.5,4.77,4.42,4.69,"3,910,385"
6/12/2020,4.6,4.78,4.39,4.72,"4,378,192"
6/11/2020,4.64,4.9,4.18,4.37,"6,235,993"
6/10/2020,4.78,5.53,4.68,5.07,"10,606,370"
6/9/2020,5,5,4.55,4.96,"8,073,448"
6/8/2020,4.28,5.14,4.27,5.01,"10,133,660"
6/5/2020,4.29,4.41,4.09,4.14,"6,274,428"
6/4/2020,4.44,4.72,4.37,4.47,"3,514,299"
6/3/2020,4.24,4.52,4.2,4.44,"3,037,424"
6/2/2020,4.27,4.31,4.06,4.18,"2,369,780"
6/1/2020,4.12,4.36,4.02,4.13,"2,618,424"
5/29/2020,4.33,4.42,4.05,4.06,"3,973,540"
5/28/2020,4.75,4.76,4.3,4.33,"2,184,367"
5/27/2020,4.57,4.71,4.36,4.69,"3,146,603"
5/26/2020,4.34,4.61,4.33,4.42,"3,545,926"
5/22/2020,4.46,4.49,4.13,4.18,"2,379,851"
5/21/2020,4.45,4.65,4.4,4.44,"1,971,906"
5/20/2020,4.5,4.69,4.34,4.43,"2,543,609"
5/19/2020,4.58,4.75,4.37,4.44,"1,840,732"
5/18/2020,4.4,4.63,4.36,4.58,"2,371,694"
5/15/2020,4.05,4.45,4.04,4.22,"1,940,704"
5/14/2020,4.15,4.19,3.96,4.13,"2,004,868"
5/13/2020,4.54,4.54,4.07,4.21,"2,882,877"
5/12/2020,4.78,4.92,4.46,4.54,"2,639,157"
5/11/2020,4.92,4.96,4.75,4.76,"1,699,158"
5/8/2020,4.88,5.19,4.82,4.98,"2,353,661"
5/7/2020,4.83,4.94,4.65,4.87,"2,501,195"
5/6/2020,5.4,5.4,4.9,4.93,"3,369,640"
5/5/2020,5.55,5.63,5.35,5.39,"2,105,919"
5/4/2020,5.84,5.93,5.4,5.48,"4,068,105"
5/1/2020,5.65,6.18,5.45,6.05,"4,005,598"
4/30/2020,5.87,5.98,5.64,5.73,"2,173,530"
4/29/2020,5.83,6.09,5.45,6.04,"3,370,045"
4/28/2020,5.92,6.04,5.06,5.64,"5,200,189"
4/27/2020,4.85,5.99,4.81,5.82,"7,275,138"
4/24/2020,4.78,4.85,4.66,4.77,"2,236,544"
4/23/2020,4.75,4.89,4.58,4.7,"2,265,853"
4/22/2020,5.14,5.17,4.83,4.89,"2,678,133"
4/21/2020,5.23,5.3,4.76,4.78,"4,142,050"
4/20/2020,4.85,5.9,4.78,5.61,"6,085,011"
4/17/2020,5.22,5.28,4.43,4.88,"5,653,188"
4/16/2020,5.12,5.44,4.88,5.03,"3,371,921"
4/15/2020,5.66,5.67,4.9,5.27,"7,499,854"
4/14/2020,5.21,6.47,5.14,5.95,"13,506,630"
4/13/2020,4.25,4.76,4.16,4.74,"6,844,501"
4/9/2020,3.6,4.25,3.49,3.89,"5,908,916"
4/8/2020,3.23,3.67,3.2,3.41,"2,884,528"
4/7/2020,3.39,3.44,3.1,3.27,"2,836,859"
4/6/2020,2.86,3.2,2.83,3.09,"3,331,070"
4/3/2020,2.85,2.94,2.57,2.8,"3,830,761"
4/2/2020,3.26,3.35,2.85,2.85,"4,064,339"
4/1/2020,3.45,3.49,3.12,3.25,"4,568,695"
3/31/2020,3.63,3.8,3.5,3.5,"2,304,132"
3/30/2020,4.22,4.27,3.65,3.65,"3,350,571"
3/27/2020,4.94,5.09,4.15,4.22,"7,024,763"
3/26/2020,4.24,4.71,4.24,4.41,"6,210,979"
3/25/2020,4.15,4.49,4.04,4.17,"3,592,059"
3/24/2020,3.95,4.21,3.89,4.16,"6,805,659"
3/23/2020,3.58,3.86,3.5,3.81,"6,009,784"
3/20/2020,4.08,4.08,3.65,3.76,"7,722,194"
3/19/2020,3.71,4.2,3.55,4.19,"5,039,539"
3/18/2020,4.1,4.25,3.5,3.77,"3,651,709"
3/17/2020,4.4,4.65,4.11,4.23,"3,562,210"
3/16/2020,3.93,4.57,3.9,4.37,"4,866,696"
